Postcode,Suburb,Weather_Conditions,Field_Staff,Outage_StartTime,Outage_EndTime,Outage_Hours,Day,DOW,Month
2500,Wollongong,High Temperature,14,2024-02-17 02:42:00,2024-02-17 05:24:19.567704,2.705435473202406,17,Saturday,February
2483,Lennox Head,Fine_Conditions,4,2024-03-22 20:01:00,2024-03-22 21:51:49.118600,1.8469773889383596,22,Friday,March
2489,Grafton,Storms,4,2024-01-05 19:54:00,2024-01-06 03:26:12.634826,7.536843007108311,5,Friday,January
2490,Lawrence,Fine_Conditions,9,2024-09-03 19:55:00,2024-09-04 00:32:04.697211,4.617971447382482,3,Tuesday,September
2469,South Grafton,High Temperature,6,2024-08-06 02:57:00,2024-08-06 07:56:39.583331,4.99432870308302,6,Tuesday,August
2440,Bonny Hills,Rain,7,2023-11-22 14:15:00,2023-11-22 21:58:53.139192,7.731427553344275,22,Wednesday,November
2486,Kyogle,Storms,15,2024-08-19 09:09:00,2024-08-19 14:00:43.523470,4.862089852668138,19,Monday,August
2463,Yamba,Rain,13,2024-01-24 18:05:00,2024-01-24 20:58:25.237443,2.890343734140075,24,Wednesday,January
2485,Nimbin,Storms,3,2024-05-05 20:08:00,2024-05-06 02:24:20.537439,6.272371510950315,5,Sunday,May
2477,Bangalow,High Temperature,10,2024-01-29 07:56:00,2024-01-29 12:51:36.162012,4.92671166990311,29,Monday,January
2494,Toormina,Storms,5,2024-05-16 13:43:00,2024-05-16 19:46:41.482854,6.061523014869271,16,Thursday,May
2483,Lennox Head,Storms,4,2024-09-16 05:31:00,2024-09-16 11:28:03.629311,5.9510081420245,16,Monday,September
2480,Evans Head,Rain,10,2024-02-03 14:09:00,2024-02-03 19:45:23.188918,5.606441366175424,3,Saturday,February
2440,Bonny Hills,High Temperature,7,2024-04-21 10:29:00,2024-04-21 16:19:07.005528,5.835279313403917,21,Sunday,April
2441,Wauchope,High Temperature,14,2024-09-09 21:25:00,2024-09-10 02:21:06.985687,4.935273801832767,9,Monday,September
2470,Lismore,Rain,14,2024-07-18 16:28:00,2024-07-18 21:12:01.368474,4.7337134650572255,18,Thursday,July
2494,Toormina,Rain,5,2024-06-10 23:18:00,2024-06-11 05:57:02.063357,6.650573154666962,10,Monday,June
2488,Stanthorpe,Rain,15,2024-05-15 15:14:00,2024-05-15 17:46:59.849629,2.5499582303153194,15,Wednesday,May
2499,South West Rocks,High Temperature,12,2024-03-07 15:13:00,2024-03-07 19:33:45.216005,4.345893334638445,7,Thursday,March
2472,Casino,Rain,13,2024-04-17 04:47:00,2024-04-17 07:54:30.982188,3.125272829986759,17,Wednesday,April
2500,Wollongong,High Temperature,14,2024-06-04 12:38:00,2024-06-04 17:26:28.654052,4.807959458753743,4,Tuesday,June
2495,Urunga,Rain,5,2024-08-18 23:11:00,2024-08-19 03:46:19.747185,4.588818662578844,18,Sunday,August
2442,North Haven,Rain,9,2023-12-12 20:42:00,2023-12-13 00:37:23.744276,3.9232622987608265,12,Tuesday,December
2454,Yamba,Storms,8,2024-06-03 01:52:00,2024-06-03 09:31:10.751963,7.652986656468765,3,Monday,June
2465,Nambucca Heads,Fine_Conditions,7,2023-10-17 21:52:00,2023-10-18 00:01:23.962764,2.156656323252464,17,Tuesday,October
2498,Macksville,High Temperature,13,2024-03-12 18:42:00,2024-03-12 23:10:41.873984,4.478298328814342,12,Tuesday,March
2491,Casino,Rain,11,2023-11-25 10:38:00,2023-11-25 14:30:44.410316,3.87900286545611,25,Saturday,November
2472,Casino,Fine_Conditions,13,2024-02-10 00:03:00,2024-02-10 02:13:11.870641,2.1699640668397078,10,Saturday,February
2496,Bellingen,High Temperature,3,2023-11-16 15:02:00,2023-11-16 23:06:16.100438,8.071139010527869,16,Thursday,November
2454,Yamba,Storms,8,2024-05-02 15:06:00,2024-05-02 21:52:53.263833,6.781462175881256,2,Thursday,May
2488,Stanthorpe,Fine_Conditions,15,2024-09-09 06:19:00,2024-09-09 09:30:10.973201,3.1863814448327954,9,Monday,September
2443,Lake Cathie,High Temperature,9,2024-02-19 10:23:00,2024-02-19 15:11:10.657105,4.8029603069408475,19,Monday,February
2483,Lennox Head,Fine_Conditions,4,2023-12-21 09:27:00,2023-12-21 12:57:44.459172,3.5123497701119057,21,Thursday,December
2463,Yamba,Fine_Conditions,13,2024-07-29 10:11:00,2024-07-29 11:20:38.811084,1.160780856610045,29,Monday,July
2440,Bonny Hills,Rain,7,2024-04-04 06:42:00,2024-04-04 13:51:10.995171,7.153054214061699,4,Thursday,April
2489,Grafton,High Temperature,4,2024-05-21 22:33:00,2024-05-22 03:14:36.094670,4.6933596304893745,21,Tuesday,May
2442,North Haven,Fine_Conditions,9,2024-03-10 04:19:00,2024-03-10 08:09:08.024057,3.8355622379463226,10,Sunday,March
2482,Ballina,Storms,9,2024-05-27 08:00:00,2024-05-27 11:53:00.548753,3.8834857646543206,27,Monday,May
2479,Coraki,Fine_Conditions,5,2024-06-13 10:41:00,2024-06-13 16:33:53.981907,5.881661640893189,13,Thursday,June
